REF_DATE,Year,GEO,Population centre and rural areas,Class of worker,Industry type,VALUE
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",17
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",19.3
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",20.6
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",23.4
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",24.9
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",20.7
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,34.5
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,34.6
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,32.8
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,31.8
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,33.8
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,31.9
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,33.2
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,32.1
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,32.6
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),18.5
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),18.6
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),20.7
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),19.2
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),20.5
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),21
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),20.6
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),20.3
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),20.8
2025-01-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,38.3
2025-02-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,37.6
2025-03-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,38.9
2025-04-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,38.6
2025-05-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39.6
2025-06-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39.1
2025-07-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,39
2025-08-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,38.6
2025-09-01,2025,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,38.5
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,6.7
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,6.2
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,6.8
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,6.1
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,5.9
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,6.3
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,5.8
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Agriculture,6.1
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",14.7
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",12.6
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",12.9
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",11.4
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",9.7
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",9.7
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",8
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Forestry, fishing, mining, quarrying, oil and gas",11.9
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.8
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.8
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,3.8
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,4.5
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,5.6
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,5.3
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,5.4
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Utilities,6.3
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,36.9
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,36.5
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,39
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,38
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,37.8
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,37.7
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,40.6
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Construction,37.6
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,36.1
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,35.3
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,34.8
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,33.6
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,34.4
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,34.5
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,34.4
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Manufacturing,34.2
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,64.9
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,73.9
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,73.7
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,74.1
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,75
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,75.2
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,74.6
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Wholesale and retail trade,75.7
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,24
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,26.7
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,26.3
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,24.9
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,26.5
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,26.8
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,27.3
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Transportation and warehousing,25.4
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",24.3
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",26.1
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",27.7
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",27
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",25.6
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",26.3
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",26
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Finance, insurance, real estate, rental and leasing",25.5
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",33.8
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",34.4
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",33.4
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",35.5
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",33.2
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",33.9
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",34.5
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Professional, scientific and technical services",35.8
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.5
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",20
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",19.8
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",19.4
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",19.8
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",19.8
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.8
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Business, building and other support services",18.3
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,34.4
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,35.9
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,28.8
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,30.5
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,38
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,38.5
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,40.2
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Educational services,39.3
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,77.3
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,79.2
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,82.4
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,82.1
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,82.2
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,80.5
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,79.8
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Health care and social assistance,78.7
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",12.5
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",15.6
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",15.6
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",16
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",13.8
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",13.1
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",12.9
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers","Information, culture and recreation",12.7
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,25.9
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,30.9
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,32.6
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,29.5
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,29.6
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,29.9
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,25.9
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Accommodation and food services,26.8
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),17.4
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),16.9
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),17.2
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),18.5
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),16.1
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),15.4
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),16.1
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Other services (except public administration),15.1
2021-05-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,30.4
2021-06-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,31.3
2021-07-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,31.5
2021-08-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,32.9
2021-09-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,31.7
2021-10-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,29.4
2021-11-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,28.9
2021-12-01,2021,Nova Scotia,"Total, all population centres and rural areas","Total employed, all classes of workers",Public administration,30.3
